SMILES,logIE,correction
CC(C)(C)c1ccccc1O,-0.08370402,3.790133903
CC(C)(C)c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,0.34949246,0.521243205
Oc1cc(ccc1[N+]([O-])=O)[N+]([O-])=O,1.253485,0.085047471
Oc1cccc(Cl)c1,0.044320032,0.835851733
CC(C)c1ccccc1O,-0.13685203,-0.710650325
Oc1cccc(Br)c1,0.804139,0.116859747
Oc1ccccc1Br,-0.54626447,-0.442587276
Oc1c(cccc1[N+]([O-])=O)[N+]([O-])=O,1.2547028,0.090795068
Oc1ccccc1[N+]([O-])=O,0.8356739,-2.177005533
Oc1cccc(c1)[N+]([O-])=O,0.83605486,0.218640316
Oc1ccc(cc1)[N+]([O-])=O,0.8362831,0.239742648
Oc1c(F)c(F)cc(F)c1F,0.9157724,0.381234879
OC(C1=CC=CC(S(=O)(C(F)(C(F)(C(F)(F)F)F)F)=O)=C1)=O,2.2429385,0.065442284
OC(C1=CC=CC(S(=O)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)=O)=C1)=O,2.327107,0.022223969
OC(C1=CC=CC(SC(F)(C(F)(C(F)(F)F)F)F)=C1)=O,1.7071137,0.15905727
OC(=O)c1cccc(c1)[S](=O)(=O)C(F)(F)F,1.7378919,0.039838722
FC(F)(F)C(c1cccc(c1)C(=O)O)(C(F)(F)F)C(F)(F)F,2.0745444,0.153247172
OC(C1=CC=CC(SC(F)(F)F)=C1)=O,1.1507001,0.027410797
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.1603487,0.080702701
O=S(C1=C(O)C(S(=O)(OCC(F)(F)F)=O)=CC(S(=O)(OCC(F)(F)F)=O)=C1)(OCC(F)(F)F)=O,3.4004576,0.145613663
OC(=O)c1ccccc1O,0.6276788,0.019251857
Oc1ccccc1C#N,0.74895513,0.097644421
Oc1ccccc1N=Nc2cc(ccc2O)c3ccccc3,1.1091964,0.331809383
OC(=O)c1cc(I)cc(I)c1O,1.862715,0.183019734
Oc1c(cc(c(O)c1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,1.9693215,0.064498102
OC(=O)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,1.6425977,0.066705866
OC(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,1.2295222,2.073805571
Oc1ccc(Cl)cc1,0.028742984,0.937515252
O=S(C1=C(O)C(S(=O)(OCC(F)(C(F)F)F)=O)=CC(S(=O)(OCC(F)(C(F)F)F)=O)=C1)(OCC(F)(C(F)F)F)=O,3.6756527,0.042798765
FC1=C(O)C(F)=C(F)C2=C(F)C(F)=C(F)C(F)=C21,1.6431351,0.135192068
O[S](=O)(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,1.6259217,0.130523141
O=S(C1=CC=CC2=CC=CC=C21)(O)=O,1.3893425,0.215060708
O[S](=O)(=O)c1ccc2C(=O)c3ccccc3C(=O)c2c1,2.0300791,0.121177867
N[S](=O)(=O)c1cccc(c1)[N+]([O-])=O,1.1806889,0.202237258
O=S(O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)=O,2.8235457,0.077272649
OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,1.4794934,0.13982943
CCCCCCCCCCCCCC(O)=O,1.7430995,0.132786343
FC1=C(S(NS(C2=C(F)C(F)=C(F)C(F)=C2F)(=O)=O)(=O)=O)C(F)=C(F)C(F)=C1F,2.2231603,0.088868743
O=S(NS(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O)(C2=CC=C(C)C=C2)=O,2.4608672,0.015653133
C/C=C/C=C/C(O)=O,-0.3050828,-0.052009648
ON1C(=O)c2ccccc2C1=O,0.04181646,-1.181810704
NCCCC(O)=O,-1.5649745,-0.071900374
OC(=O)c1ccccc1,0.029346406,inf
OC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,1.2297935,0.556700694
OC(=O)c1cccc(c1)C(F)(F)F,1.2853634,0.108071927
Oc1c(F)c(F)c(F)c(F)c1F,1.3626528,0.497420636
CC(C)(C)c1ccc(cc1)C(O)=O,0.7766245,0.352812916
