SMILES,pH_aq,logIE
Oc1ccc(cc1)[N+]([O-])=O,10.5,1.1
Oc1c(F)c(F)cc(F)c1F,10.5,1.48
OC(C1=CC=CC(S(=O)(C(F)(C(F)(C(F)(F)F)F)F)=O)=C1)=O,10.5,2.4
OC(C1=CC=CC(S(=O)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)=O)=C1)=O,10.5,2.38
OC(C1=CC=CC(SC(F)(C(F)(C(F)(F)F)F)F)=C1)=O,10.5,2.03
OC(=O)c1cccc(c1)[S](=O)(=O)C(F)(F)F,10.5,1.81
FC(F)(F)C(c1cccc(c1)C(=O)O)(C(F)(F)F)C(F)(F)F,10.5,2.45
OC(C1=CC=CC(SC(F)(F)F)=C1)=O,10.5,1.12
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,10.5,2.35
O=S(C1=C(O)C(S(=O)(OCC(F)(F)F)=O)=CC(S(=O)(OCC(F)(F)F)=O)=C1)(OCC(F)(F)F)=O,10.5,3.98
OC(=O)c1ccccc1O,10.5,0.64
Oc1ccccc1C#N,10.5,0.83
Oc1ccccc1N=Nc2cc(ccc2O)c3ccccc3,10.5,1.66
OC(=O)c1cc(I)cc(I)c1O,10.5,2.28
Oc1c(cc(c(O)c1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,10.5,1.85
OC(=O)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,10.5,1.76
OC(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,10.5,0.4
Oc1ccc(Cl)cc1,10.5,0.46
O=S(C1=C(O)C(S(=O)(OCC(F)(C(F)F)F)=O)=CC(S(=O)(OCC(F)(C(F)F)F)=O)=C1)(OCC(F)(C(F)F)F)=O,10.5,3.84
FC1=C(O)C(F)=C(F)C2=C(F)C(F)=C(F)C(F)=C21,10.5,1.9
O[S](=O)(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,10.5,1.87
O=S(C1=CC=CC2=CC=CC=C21)(O)=O,10.5,1.77
O[S](=O)(=O)c1ccc2C(=O)c3ccccc3C(=O)c2c1,10.5,2.31
N[S](=O)(=O)c1cccc(c1)[N+]([O-])=O,10.5,1.48
O=S(O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)=O,10.5,3.06
OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,10.5,1.72
CCCCCCCCCCCCCC(O)=O,10.5,2.01
FC1=C(S(NS(C2=C(F)C(F)=C(F)C(F)=C2F)(=O)=O)(=O)=O)C(F)=C(F)C(F)=C1F,10.5,2.44
O=S(NS(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O)(C2=CC=C(C)C=C2)=O,10.5,2.5
C/C=C/C=C/C(O)=O,10.5,-0.29
ON1C(=O)c2ccccc2C1=O,10.5,-0.23
NCCCC(O)=O,10.5,-1.46
OC(=O)c1ccccc1,10.5,0
OC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,10.5,0.79
OC(=O)c1cccc(c1)C(F)(F)F,10.5,1.16
Oc1c(F)c(F)c(F)c(F)c1F,10.5,0.91
CC(C)(C)c1ccc(cc1)C(O)=O,10.5,1.2
Oc1c(F)c(F)c(c(F)c1F)c2c(F)c(F)c(F)c(F)c2F,10.5,2.17
Oc1c(c(c(c(c1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,10.5,2.3
Oc1ccc(cc1)c2ccccc2,10.5,0.35
Oc1ccccc1c2ccccc2,10.5,-0.01
OC(=O)c1cccc(Cl)c1,10.5,0.48
Nc1ccc(cc1)C(O)=O,10.5,-0.06
OC(=O)c1ccc(O)cc1,10.5,0.13
Nc1cccc(c1)C(O)=O,10.5,0.09
OC(=O)c1c(F)c(F)c(F)c(F)c1F,10.5,0.61
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,10.5,0.84
CN(C)c1cccc(c1)C(O)=O,10.5,0.71
CC(C)c1ccc(cc1)C(O)=O,10.5,0.05
CC(C)(C)c1ccccc1O,10.5,-0.46
CC(C)(C)c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,10.5,0.55
Oc1cc(ccc1[N+]([O-])=O)[N+]([O-])=O,10.5,0.98
Oc1cccc(Cl)c1,10.5,0.22
CC(C)c1ccccc1O,10.5,-0.61
Oc1cccc(Br)c1,10.5,0.63
Oc1ccccc1Br,10.5,-0.8
Oc1c(cccc1[N+]([O-])=O)[N+]([O-])=O,10.5,1.06
Oc1ccccc1[N+]([O-])=O,10.5,-0.62
Oc1cccc(c1)[N+]([O-])=O,10.5,0.78
Oc1ccc(cc1)[N+]([O-])=O,10.5,0.97
Oc1c(F)c(F)cc(F)c1F,10.5,0.97
OC(C1=CC=CC(S(=O)(C(F)(C(F)(C(F)(F)F)F)F)=O)=C1)=O,10.5,2.2
OC(C1=CC=CC(S(=O)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)=O)=C1)=O,10.5,2.15
OC(C1=CC=CC(SC(F)(C(F)(C(F)(F)F)F)F)=C1)=O,10.5,1.84
OC(=O)c1cccc(c1)[S](=O)(=O)C(F)(F)F,10.5,1.69
FC(F)(F)C(c1cccc(c1)C(=O)O)(C(F)(F)F)C(F)(F)F,10.5,2.14
OC(C1=CC=CC(SC(F)(F)F)=C1)=O,10.5,1.28
Oc1c(Br)c(Br)c(Br)c(Br)c1Br,10.5,1.96
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,10.5,1.97
O=S(C1=C(O)C(S(=O)(OCC(F)(F)F)=O)=CC(S(=O)(OCC(F)(F)F)=O)=C1)(OCC(F)(F)F)=O,10.5,3.14
OC(=O)c1ccccc1O,10.5,0.39
Oc1ccccc1C#N,10.5,0.28
Oc1ccccc1N=Nc2cc(ccc2O)c3ccccc3,10.5,1.02
OC(=O)c1cc(I)cc(I)c1O,10.5,2.05
Oc1c(cc(c(O)c1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,10.5,1.07
OC(=O)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,10.5,1.22
OC(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,10.5,0.07
Oc1ccc(Cl)cc1,10.5,0.03
O=S(C1=C(O)C(S(=O)(OCC(F)(C(F)F)F)=O)=CC(S(=O)(OCC(F)(C(F)F)F)=O)=C1)(OCC(F)(C(F)F)F)=O,10.5,3.49
FC1=C(O)C(F)=C(F)C2=C(F)C(F)=C(F)C(F)=C21,10.5,1.94
O[S](=O)(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,10.5,1.68
O=S(C1=CC=CC2=CC=CC=C21)(O)=O,10.5,1.6
O[S](=O)(=O)c1ccc2C(=O)c3ccccc3C(=O)c2c1,10.5,2.1
N[S](=O)(=O)c1cccc(c1)[N+]([O-])=O,10.5,1.5
O=S(O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)=O,10.5,2.77
OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,10.5,1.54
CCCCCCCCCCCCCC(O)=O,10.5,1.91
FC1=C(S(NS(C2=C(F)C(F)=C(F)C(F)=C2F)(=O)=O)(=O)=O)C(F)=C(F)C(F)=C1F,10.5,2.29
O=S(NS(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O)(C2=CC=C(C)C=C2)=O,10.5,2.46
C/C=C/C=C/C(O)=O,10.5,-0.4
O=C1NC(=O)c2ccccc12,10.5,0.05
ON1C(=O)c2ccccc2C1=O,10.5,-0.43
NCCCC(O)=O,10.5,-1.52
NCCC(O)=O,10.5,-2.46
OC(=O)c1ccccc1,10.5,-0.02
OC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,10.5,1.43
OC(=O)c1cccc(c1)C(F)(F)F,10.5,1.5
Oc1c(F)c(F)c(F)c(F)c1F,10.5,1.67
